ID,Comune,Classe-priorità,X,Y
14070053-001/1,Pietracatella,3,14.913257790797568,41.563702277208165
14070053-002/1,Pietracatella,3,14.854635001859007,41.602634309095777
14070055-001/1,Portocannone,4,14.980429744333165,41.912420528209481
14070055-002/1,Portocannone,4,14.980779422076242,41.912393571852846
14070055-003/1,Portocannone,4,14.981249552683106,41.912780920294878
14070057-001/1,Riccia,4,14.831245231265532,41.483700288221925
14070057-002/1,Riccia,2,14.830596737770225,41.479754207641648
14070057-005/1,Riccia,4,14.826355925044847,41.484593729481041
14070057-005/10,Riccia,4,14.826355925044847,41.484593729481041
14070057-005/2,Riccia,4,14.826355925044847,41.484593729481041
14070057-005/3,Riccia,2,14.826355925044847,41.484593729481041
14070057-005/4,Riccia,2,14.826355925044847,41.484593729481041
14070057-005/5,Riccia,2,14.826355925044847,41.484593729481041
14070057-005/6,Riccia,4,14.826355925044847,41.484593729481041
14070057-005/7,Riccia,4,14.826355925044847,41.484593729481041
14070057-005/8,Riccia,4,14.826355925044847,41.484593729481041
14070057-005/9,Riccia,4,14.826355925044847,41.484593729481041
14070057-006/1,Riccia,4,14.866355460797193,41.441223592195158
14070057-007/1,Riccia,4,14.855892375563448,41.447245774140484
14070057-008/1,Riccia,4,14.815791924765833,41.467499720791544
14070057-008/2,Riccia,4,14.815791924765833,41.467499720791544
14070057-009/1,Riccia,3,14.817084712771239,41.467672922970223
14070057-010/1,Riccia,2,14.835154370549418,41.481967586841868
14070057-011/1,Riccia,4,14.837979014111687,41.468361788174626
14070057-012/1,Riccia,3,14.846464024606819,41.490855276259062
14070057-013/1,Riccia,3,14.824007129702455,41.476159463475085
14070057-014/1,Riccia,3,14.865854802700719,41.440214202913808
14070057-015/1,Riccia,2,14.830822402524953,41.485086772005474
14070057-016/1,Riccia,3,14.830774818230831,41.484960603215114
14070057-018/1,Riccia,2,14.826102197000491,41.485412991074661
14070057-019/1,Riccia,2,14.825958919176273,41.485241634517273
14070057-020/1,Riccia,4,14.826942911488782,41.484567590826714
14070057-021/1,Riccia,2,14.823102432352893,41.482940460012273
14070057-022/1,Riccia,4,14.827159064543585,41.484360752032856
14070057-023/1,Riccia,4,14.827099246974557,41.48433363725367
14070057-024/1,Riccia,4,14.826319004539453,41.48496296618692
14070057-025/1,Riccia,4,14.826438591490911,41.485035202407943
14070059-001/1,Ripalimosani,4,14.661151403693367,41.609576360531797
14070059-003/1,Ripalimosani,4,14.664176718437799,41.588545008550213
14070059-006/1,Ripalimosani,3,14.673372991196722,41.589634329198645
14070059-007/1,Ripalimosani,3,14.672734369411595,41.590181939344561
14070059-008/1,Ripalimosani,3,14.665812699045919,41.613273840887814
14070059-008/2,Ripalimosani,3,14.665812699045919,41.613273840887814
14070059-008/3,Ripalimosani,3,14.665812699045919,41.613273840887814
14070059-008/4,Ripalimosani,3,14.665812699045919,41.613273840887814
14070059-009/1,Ripalimosani,4,14.638141085036413,41.610370881785393
14070059-010/1,Ripalimosani,4,14.665628353991808,41.607139584870104
14070060-001/1,Roccavivara,4,14.596911574082084,41.834366519930555
14070061-002/1,Rotello,4,15.097834820744383,41.730699215879966
14070061-003/1,Rotello,3,15.076759865647158,41.722501040719727
14070061-004/1,Rotello,2,15.004485302061738,41.746934836051089
14070062-001/1,Salcito,2,14.505593332328836,41.74317782924004
14070062-002/1,Salcito,3,14.510026603190996,41.731082800125016
14070062-003/1,Salcito,3,14.50969207868256,41.730802166512525
14070064-001/1,San Felice del Molise,2,14.72073095876887,41.902058200494473
14070065-001/1,San Giacomo degli Schiavoni,4,14.943696755389572,41.959908289501179
14070065-002/1,San Giacomo degli Schiavoni,3,14.944111265448189,41.955054046946898
14070066-001/1,San Giovanni In Galdo,4,14.757213293328592,41.598380615589356
14070066-002/1,San Giovanni In Galdo,3,14.751640585075114,41.590352511771762
14070067-001/1,San Giuliano del Sannio,1,14.637717347351757,41.454241376367079
14070067-001/2,San Giuliano del Sannio,1,14.637717347351757,41.454241376367079
14070067-002/1,San Giuliano del Sannio,4,14.639815504065112,41.453698525632952
14070067-003/1,San Giuliano del Sannio,4,14.641701774879893,41.454668191777962
14070067-004/1,San Giuliano del Sannio,4,14.662737656086495,41.445346323220733
14070068-001/1,San Giuliano di Puglia,4,14.935163453485211,41.676060185837187
14070068-001/2,San Giuliano di Puglia,4,14.935163453485211,41.676060185837187
14070068-001/3,San Giuliano di Puglia,4,14.935163453485211,41.676060185837187
14070069-001/1,San Martino In Pensilis,2,15.003059944602141,41.872514365104934
14070069-002/1,San Martino In Pensilis,2,15.048309569290664,41.810529981776561
14070069-003/1,San Martino In Pensilis,3,15.054939833093405,41.835322210146153
14070069-004/1,San Martino In Pensilis,3,15.012024583458443,41.869244406211223
14070072-001/1,Santa Croce di Magliano,4,14.98184947744797,41.71097848595538
14070073-001/1,Sant'angelo Limosano,3,14.603607166490281,41.693714493263087
14070074-001/1,Sant'elia A Pianisi,4,14.871680478940352,41.623874957095069
14070074-001/3,Sant'elia A Pianisi,4,14.871680478940352,41.623874957095069
14070074-002/1,Sant'elia A Pianisi,4,14.884983953151441,41.628698747355614
14070075-001/1,Sepino,2,14.652382887159943,41.413970395918653
14070075-001/2,Sepino,4,14.652382887159943,41.413970395918653
14070075-001/3,Sepino,4,14.652382887159943,41.413970395918653
14070075-002/1,Sepino,3,14.655237037703392,41.41952743701944
14070076-001/1,Spinete,4,14.494195086288775,41.547949775099241
