Id_Regione;ID_Unità;Provincia;Comune - Frazione;Categoria;Descrizione materiali;Tipologia;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
117;A65730;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;10500;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66122;To;Nichelino;2;LASTRE;;1;1;2,5;2,5;15;;;1;3;1;2;5;3518;8;;;1;30;1;;1;1;5;1;1.26;4;2;-;-;;;;3;0,7;976;0;0
117;A66123;To;Nichelino;2;LASTRE;;1;1;2,5;2,5;15;;;1;3;1;2;5;3518;8;;;1;30;1;;1;1;5;1;1.26;4;2;-;-;;;;3;0,7;976;0;0
117;A66124;To;Nichelino;2;LASTRE;;1;1;2,5;2,5;15;;;1;3;1;2;5;3518;8;;;1;30;1;;1;1;5;1;1.26;4;2;-;-;;;;3;0,7;976;0;0
117;A66125;To;Nichelino;2;LASTRE;;1;1;2,5;2,5;10;;;1;1;1;2;5;1020;5;;;1;5;1;;1;1;20;1;1.35;4;2;Incapsulamento;-;;;;3;0,7;438;0;0
117;A66126;To;Nichelino;2;LASTRE;Edificio Residenziale con annessa tettoia;1;1;2,5;2,5;10;;;1;1;5;2;3;490;5;;;1;30;1;;1;1;10;1;1.13;4;2;-;-;;;;3;0,7;563;0;0
117;A66127;To;Nichelino;2;LASTRE;Edificio Residenziale con annessa tettoia;1;1;2,5;2,5;10;;;1;1;5;2;3;490;5;;;1;30;1;;1;1;10;1;1.13;4;2;-;-;;;;3;0,7;563;0;0
117;A66128;To;Nichelino;2;LASTRE;;1;1;2,5;2,5;10;;;1;1;1;2;5;700;5;;;1;30;1;;1;1;20;1;1.14;4;2;Incapsulamento;-;;;;3;0,7;622;0;0
117;A66129;To;Nichelino;2;LASTRE;;1;1;1;2,5;10;;;1;3;1;2;5;1037;5;;;1;30;1;;1;1;5;1;1.2;4;2;-;-;;;;4;0,4;337;0;0
117;A66130;To;Nichelino;2;LASTRE;;1;1;1;2,5;10;;;1;3;1;2;5;1037;8;;;1;30;1;;1;1;5;1;1.2;4;2;-;-;;;;4;0,4;358;0;0
117;A66136;To;Nichelino;2;LASTRE;DEPOSITO MATERIALI VARI;1;1;2,5;2,5;10;;;1;1;1;2;5;900;8;;;1;30;1;;3;1;5;3;1;4;2;-;-;;;;3;0,7;603;0;0
117;A66156;To;Nichelino;2;LASTRE;;1;1;2,5;1;15;;;1;3;1;2;5;1355;8;;;1;30;1;;1;1;5;3;0.75;4;2;Confinamento;-;;;;5;0,3;368;0;0
117;A66174;To;Nichelino;2;LASTRE;GRANDE DISTRIBUZIONE COMMERCIALE;1;1;2,5;2,5;15;;;1;1;1;2;5;950;8;;;1;30;1;;1;1;20;3;0.8;4;2;-;-;;;;3;0,7;755;0;0
117;A66200;To;Nichelino;2;LASTRE;LOCALE PRIVATO GIOCO BOCCE;1;1;2,5;2,5;10;;;1;1;1;2;5;1410;5;;;1;30;1;;1;1;10;1;1.03;4;2;-;-;;;;3;0,7;548;0;0
117;A66201;To;Nichelino;2;LASTRE;CANTINETTA PRIVATA;1;1;2,5;2,5;10;;;1;1;1;2;5;1410;5;;;1;30;1;;1;1;10;1;1.03;4;2;-;-;;;;3;0,7;548;0;0
117;A66202;To;Nichelino;2;LASTRE;LOCALE COMMERCIALE;1;1;2,5;2,5;10;;;1;1;1;2;5;1410;5;;;1;30;1;;1;1;20;1;1.03;4;2;-;-;;;;3;0,7;622;0;0
117;A66208;To;Nichelino;2;LASTRE;;1;1;2,5;2,5;10;;;1;3;1;2;5;600;5;;;1;30;1;;1;1;5;1;1.18;4;2;-;-;;;;3;0,7;852;0;0
117;A66213;To;Nichelino;2;LASTRE;EDIFICIO RESIDENZIALE E SEDE VOLONTARIATO;1;1;2,5;2,5;10;;;1;1;1;2;3;210;5;;;1;5;1;;1;1;10;1;1.1;4;2;-;-;;;;3;0,7;350;0;0
117;A66234;To;Nichelino;2;LASTRE CON SOPRACOPERTURA;EDIFICIO COMMERCIALE;1;2,5;2,5;2,5;15;;;1;1;1;2;5;1000;8;;;1;5;1;;1;1;20;1;1.47;4;2;Confinamento;-;;;;2;0,8;733;0;0
117;A666976;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66740 A;To;Torino;2;lastre;EDIFICIO ARTIGIANALE E DI SERVIZIO;1;1;2,5;2,5;15;;;1;1;5;2;5;1700;8;;;1;30;1;;1;1;20;5;0;4;2;Incapsulamento;-;;;;3;0,7;843;0;0
117;A66740 B;To;Torino;2;LASTRE;EDIFICIO ATTIVITA  ARTIGIANALE (CARROZZERIA);1;2,5;2,5;2,5;10;;;1;1;5;2;5;503;8;;;1;5;1;;1;1;20;5;0;4;2;Incapsulamento;C Rimozione;;;;2;0,8;913;0;0
117;A66977;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66978;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;10;;;1;1;1;2;9;61000;5;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;379;0;0
117;A66979;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66980;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66981;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66982;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66983;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;5700;5;;;1;30;1;;1;1;5;3;0.6;4;2;-;-;;;;4;0,4;421;0;0
117;A66984;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;5700;8;;;1;30;1;;1;1;5;3;0.6;4;2;-;-;;;;4;0,4;442;0;0
117;A66985;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;5700;5;;;1;30;1;;1;1;5;3;0.6;4;2;-;-;;;;4;0,4;421;0;0
117;A66986;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;15;;;1;3;1;2;9;5700;8;;;1;30;1;;1;1;5;3;0.6;4;2;-;-;;;;4;0,4;477;0;0
117;A66987;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;5700;5;;;1;30;1;;1;1;5;3;0.6;4;2;-;-;;;;4;0,4;421;0;0
117;A66988;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A66991;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;15;;;1;3;1;2;5;3000;8;;;1;5;1;;1;1;5;3;0.56;4;2;-;-;;;;4;0,4;349;0;0
117;A66992;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;5;3000;8;;;1;5;1;;1;1;5;3;0.56;4;2;-;-;;;;4;0,4;314;0;0
