Id_Regione;Id_Unità;Provincia;Comune;Categoria;Tipologia;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato;Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Presenza di cause che creano o favoriscono la dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta allaria;Effettiva superficie con amianto friabile (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano(m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi totali stimati dell’intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
113;39;BZ;ORA;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;5;;340;1;1;1;2;3;;5;0;20;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;192;676752;5136119
113;40;BZ;BRONZOLO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;1700;1;1;1;2;3;;5;0;100;1;5;1;;1;1;10;1;1,78;2;2;;;;0;;4;0,4;137,4;677745;5139167
113;42;BZ;LAIVES;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;15;;42500;1;1;1;2;5;;8;0;2500;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;255;678974;5142996
113;43;BZ;LAIVES;2;Edifici residenziali;copertura;1;1;1;1;10;;3400;1;1;1;2;3;;5;0;200;1;30;1;;1;1;10;5;0;4;2;C;C;2999;0;2999;5;0,3;152,1;678982;5142703
113;44;BZ;LAIVES;2;Edifici residenziali;copertura;1;1;1;1;10;;4420;1;1;1;2;3;;5;0;260;1;30;1;;1;1;10;5;0;4;2;C;C;3898;0;3898;5;0,3;152,1;678964;5142675
113;46;BZ;LAIVES;2;Edifici residenziali;copertura;1;1;1;2,5;10;;2550;1;1;1;2;3;;5;0;150;1;30;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;273;678837;5142663
113;47;BZ;BRONZOLO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;2550;1;1;1;2;3;;5;0;150;1;5;1;;1;1;10;3;0,02;2;2;;;;0;;4;0,4;154,2;678811;5142617
113;48;BZ;LAIVES;2;Edifici residenziali;copertura;1;1;1;2,5;10;;8840;1;1;1;2;5;;8;0;520;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;234;678898;5142602
113;49;BZ;LAIVES;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;15;;10710;1;1;1;2;5;;8;0;630;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;255;678907;5142541
113;51;BZ;BRONZOLO;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;850;1;3;1;2;3;;5;0;50;1;5;3;;1;1;5;5;0;4;2;;;;0;;4;0,4;343;678679;5141538
113;54;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;1;10;;3400;1;1;1;2;3;;5;0;200;1;30;1;;1;1;10;5;0;4;2;C;C;2999;0;2999;5;0,3;152,1;724928;5187505
113;63;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;1;10;;850;1;1;1;2;3;;5;0;50;1;30;1;;1;1;10;5;0;4;2;C;C;750;0;750;5;0,3;152,1;723138;5186754
113;64;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;1;10;;2550;1;1;1;2;3;;5;0;150;1;5;1;;1;1;10;5;0;4;2;C;C;2249;0;2249;5;0,3;107,1;723128;5185963
113;67;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;4250;1;1;1;2;5;;5;0;250;1;30;1;;1;1;10;5;0;4;2;A;;3749;0;3749;4;0,4;281,4;723325;5187068
113;68;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;1;15;;13600;1;1;1;2;5;;8;0;800;1;30;1;;1;1;10;5;0;4;2;C;C;11995;0;11995;5;0,3;170,1;724298;5184766
113;69;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;1;10;;5950;1;1;1;2;3;;5;0;350;1;30;1;;1;1;10;5;0;4;2;C;C;5248;0;5248;5;0,3;152,1;722833;5186114
