"ID";"CODICE";"DENOMIAZIONE";"CAP";"CITTA'";"PROV";"GIS x";"GIS y";"GIS Z";"PUNTEGGIO SITO Hp1";"PUNTEGGIO SITO Hp2";"CLASSE DI PRIORITA'";"TIPOLOGIA DI MCA";"PRESENZA DI CONFINAMENTO";"ACCESSIBILITA'";"TIPOLOGIA DI ATTIVITA'";"i1";"i2";"i3";"i4";"i5";"i6";"i7";"i8";"i9";"i10";"i11";"i12";"i13";"i14";"i15";"i16"
246;"CO010059007";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1533440;4901670;;;610;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;20;5;4;
247;"CO010059008";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1532080;4901930;;;256;4;2;2;2;1;10;1;1;5;;5;8;1;5;;;;20;5;4;
248;"CO010059010";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1531630;4902210;;;186;4;2;2;2;1;5;1;1;5;;3;5;1;5;;;;10;5;4;
249;"CO010059011";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1531630;4902210;;;222;4;2;2;2;1;5;1;1;5;;3;5;1;5;;;;20;5;4;
250;"CO010060001";"COMUNE DI SORI";16030;"SORI";"GE";1508710;4914030;;;578;2;2;2;1;1;10;1;1;1;;3;5;1;;;;1;20;3;4;
251;"CO010056001";"COMUNE DI SANTO STEFANO D'AVETO";16049;"SANTO STEFANO D'AVETO";"GE";1535871;4932635;;;884;2;2;2;1;1;10;10;1;5;;3;5;3;5;;;;20;5;4;10
252;"CO010062001";"COMUNE DI TORRIGLIA";16029;"TORRIGLIA";"GE";510358,98;4926324,76;;;545;2;2;2;1;1;10;1;1;;;5;5;1;5;;;;20;3;2;
253;"CO010062002";"COMUNE DI TORRIGLIA";16029;"TORRIGLIA";"GE";513932,84;4932523,98;;;492;2;2;2;1;1;5;1;1;;;3;5;1;5;;;;20;3;2;
254;"CO010062003";"COMUNE DI TORRIGLIA";16029;"TORRIGLIA";"GE";513614,26;4930858,31;;;492;2;2;2;1;1;5;1;1;;;3;5;1;5;;;;20;3;2;
255;"CO010062004";"COMUNE DI TORRIGLIA";16029;"TORRIGLIA";"GE";512629,17;4929395,37;;;460;3;2;2;1;2;5;1;1;;;3;5;1;5;;;;20;5;4;
256;"CO010062005";"COMUNE DI TORRIGLIA";16029;"TORRIGLIA";"GE";512734,03;4929203,14;;;626;2;2;2;1;1;5;1;1;;;5;5;1;5;;;;20;5;4;
257;"CO010067001";"COMUNE DI ZOAGLI";16030;"ZOAGLI";"GE";1521329,39;4909402,81;;;200;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;10;5;4;10
258;"CO010051001";"COMUNE DI ROSSIGLIONE";16010;"ROSSIGLIONE";"GE";1473700;4934320;;;237;4;2;2;2;1;5;10;1;5;;3;5;1;5;;;;20;3;2;
259;"ASPR3010001";"PRIVATO 3 ROSSIGLIONE";16010;"ROSSIGLIONE";"GE";1473700;4934320;;;241;4;2;2;2;2;10;10;1;5;;5;8;1;5;;;;20;5;4;
260;"ASPR1010001";"PRIVATO 1 ROSSIGLIONE";16010;"ROSSIGLIONE";"GE";1473700;4934320;;;241;4;2;2;2;2;10;10;1;5;;5;8;1;5;;;;20;5;4;
261;"ASPR2010001";"PRIVATO 2 ROSSIGLIONE";16010;"ROSSIGLIONE";"GE";1473700;4934320;;;232;4;2;2;2;2;10;10;1;5;;3;8;1;5;;;;20;5;4;
262;"ASPR4010001";"PRIVATO 4  ROSSIGLIONE";16010;"ROSSIGLIONE";"GE";1473700;4934320;;;232;4;2;2;2;2;10;10;1;5;;3;8;1;5;;;;20;5;4;
264;"AEMBC011001";"MINISTERO BENI E ATTIVITA' CULTURALI";;"ORTONOVO";"SP";1581500;4879550;;;232;4;2;2;2;1;10;1;1;5;;9;5;1;5;;;1;20;3;2;
265;"PR011EP0001";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";1566887;4884613;;;1107;1;1;2;1;1;5;1;1;5;;9;5;1;5;;;;20;5;4;10
266;"PR011EP0002";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";1567929;4885348;;;1107;1;1;2;1;1;5;1;1;5;;9;5;1;5;;;;20;5;4;10
267;"PR011EP0004";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";567697,9;4884837,2;;;690;2;2;2;1;1;10;1;1;1;;5;8;1;5;;;;20;5;2;10
268;"PR011EP0005";"PROVINCIA DELLA SPEZIA";19122;"LA SPEZIA";"SP";567408,21;4886289,45;;;259;4;1;2;2;1;5;1;1;1;;5;5;1;5;;;;20;5;4;2
269;"PR011EP0006";"PROVINCIA DELLA SPEZIA";19122;"SARZANA";"SP";1577113;4885269;;;1053;1;1;2;1;1;5;1;1;1;;9;5;1;5;;;;20;5;4;10
270;"PR011EP0007";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";564736,73;4884426,04;;;256;5;2;1;1;1;5;1;1;1;;5;5;1;5;;;;20;5;4;10
271;"PR011EP0008";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";564932,62;4884552,53;;;288;4;1;2;2;1;5;1;1;1;;5;5;1;5;;;;20;5;4;10
272;"PR011EP0009";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";564987,87;4884472,29;;;236;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;10
273;"PR011EP0010";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";565507,83;4884225,96;;;245;4;2;2;2;1;5;1;1;1;;5;5;1;5;;;;20;5;4;10
274;"PR011EP0011";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";565996,51;4884175,68;;;713;2;2;2;1;1;5;1;1;1;;5;5;1;5;;;;20;5;4;10
