ID;Id_Regione;ID_Unità;Provincia;Comune;Categoria;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
54;22;Tos10338;LU;ALTOPASCIO;14;;2;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;2;0,8;638;636273,68847;4852745,52315
16;22;Tos1928;FI;FIRENZE;8;;2;2,5;2,5;2,5;5;;;1;1;1;2;3;0;5;;;1;5;1;;1;10;5;1;;2;2;;;;;;1;1,2;637;679286,143913;4853937,49718
214;22;Tos3436;FI;FIRENZE;11;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;0;5;;;1;5;1;;1;1;20;1;;4;2;;;;;;2;0,8;636;674708,931957;4848466,08092
252;22;Tos10185;FI;CASTELFIORENTINO;10;;1;1;2,5;2,5;10;;;10;3;1;2;3;;5;;;1;5;3;;1;1;5;1;;2;2;;;;;;3;0,7;621;657971,384783;4828939,22103
361;22;Tos1267;FI;FIRENZE;13;;1;1;2,5;2,5;5;;;10;1;1;2;3;22;5;;;1;5;1;;1;1;20;5;;4;10;;;;;;3;0,7;613;682587,880322;4851210,90156
365;22;Tos712;PI;PONTEDERA;13;;1;1;2,5;2,5;5;;;10;1;1;2;3;400;5;;;1;5;1;;1;1;20;5;;4;10;;;;;;3;0,7;613;629422,069377;4835195,53424
101;22;Tos826;SI;COLLE DI VAL D ELSA;11;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;0;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;612;671396,584018;4809759,68781
331;22;Tos1466;PT;MONTALE;13;;1;1;2,5;2,5;10;;;10;1;1;2;3;240;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;607;662168,441934;4866844,03651
333;22;Tos104;AR;PIAN DI SCO;13;;1;1;2,5;2,5;10;;;10;1;1;2;3;616;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;607;705189,843402;4835277,91896
250;22;Tos360;GR;MASSA MARITTIMA;12;;1;1;2,5;2,5;15;;;1;3;1;2;3;702;5;;;1;5;3;;1;1;5;1;;2;2;;;;;;3;0,7;598;647458,110565;4765562,18293
