"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"6";"AQ0060023";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;4020,0;10,0;10;1,0;5;0;5;3276,0;5;;"276";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13608,0;2;;"Sito non bonificato";;;12742,0;;;;;866438,2;4662848,9
"6";"AQ0060024";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;3500,0;10,0;10;1,0;5;0;5;4958,0;5;;"350";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13608,0;2;;"Sito non bonificato";;;11460,0;;;;;867721,1;4663606,7
"6";"AQ0060025";"L'AQUILA";"AVEZZANO";"11";;2,5;2,0;2,5;2,5;60000;;15,0;10;1,0;5;0;5;702,0;8;"3000";;;5;"1";;"1";0,0;"20";5,0;"0";4;2;16344,0;1;;"Sito non bonificato";;;127135,0;;;;;865873,9;4663864,3
"6";"AQ0060026";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;25500,0;15,0;10;1,0;5;0;5;2021,0;8;;"2550";;5;"1";;"1";0,0;"20";5,0;"0";4;2;10488,0;2;;"Sito non bonificato";;;76360,0;;;;;866241,4;4662692,5
"6";"AQ0060027";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;432,0;5,0;10;1,0;5;0;5;1408,0;5;;"21.6";;30;"1";;"3";0,0;"20";5,0;"0";4;2;12048,0;2;;"Sito non bonificato";;;1523,8;;;;;866432,0;4662537,2
"6";"AQ0060028";"L'AQUILA";"AVEZZANO";"7";;1,0;2,0;2,5;2,5;;780,0;10,0;10;1,0;5;0;9;60516,0;5;;"39";;5;"1";;"3";0,0;"20";5,0;"0";4;2;9984,0;2;;"Sito non bonificato";;;2803,0;;;;;866417,1;4665176,4
"6";"AQ0060029";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;352,0;5,0;10;1,0;5;0;3;162,0;5;;"17.6";;30;"1";;"3";0,0;"20";5,0;"0";4;2;11880,0;2;;"Sito non bonificato";;;1451,8;;;;;865782,8;4664359,8
"6";"AQ0060030";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;1210,0;10,0;10;1,0;5;0;5;1632,0;5;;"121";;5;"1";;"1";0,0;"20";5,0;"0";4;10;10488,0;2;;"Sito non bonificato";;;4704,5;;;;;866235,8;4663371,7
"6";"AQ0060031";"L'AQUILA";"AVEZZANO";"7";;1,0;2,0;2,5;2,5;;9000,0;10,0;10;1,0;5;0;9;8768,0;8;;"900";;30;"1";;"1";0,0;"20";5,0;"0";4;2;13224,0;2;;"Sito non bonificato";;;27685,0;;;;;865746,2;4664824,0
"6";"AQ0060032";"L'AQUILA";"AVEZZANO";"12";;1,0;1,0;2,5;2,5;;368,0;5,0;10;1,0;5;0;5;1870,0;5;;"18.4";;5;"1";;"3";0,0;"20";5,0;"0";4;2;6090,0;3;;"Sito non bonificato";;;1934,2;;;;;866783,2;4661896,4
"6";"AQ0060033";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;128,0;5,0;10;1,0;5;0;5;1435,0;5;;"6.4";;5;"1";;"3";0,0;"20";5,0;"0";4;10;10008,0;2;;"Sito non bonificato";;;1000,2;;;;;863469,3;4661841,1
"6";"AQ0060034";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;137,6;5,0;10;1,0;5;0;9;10320,0;5;;"6.88";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13344,0;2;;"Sito non bonificato";;;1008,8;;;;;869002,3;4664603,3
"6";"AQ0060035";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;288,0;5,0;10;1,0;5;0;5;3104,0;5;;"14.4";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13008,0;2;;"Sito non bonificato";;;1394,2;;;;;866285,6;4662291,0
"6";"AQ0060036";"L'AQUILA";"AVEZZANO";"19";;1,0;1,0;2,5;2,5;;1000,0;10,0;10;1,0;5;0;5;1598,0;5;;"50";1;30;"1";;"3";0,0;"20";3,0;"318";2;2;7424,0;3;;"Sito non bonificato";;;2135,0;;;;;871233,5;4665082,5
"6";"AQ0060037";"L'AQUILA";"AVEZZANO";"3";;1,0;2,0;2,5;2,5;;4800,0;10,0;10;1,0;5;0;5;612,0;5;;"240";;30;"1";;"3";0,0;"20";5,0;"0";4;2;12648,0;2;;"Sito non bonificato";;;5935,0;;;;;867315,9;4661801,3
"6";"AQ0060038";"L'AQUILA";"AVEZZANO";"13";;1,0;1,0;2,5;2,5;;18360,0;15,0;10;1,0;5;0;9;11450,0;8;;"918";1;30;"1";;"3";0,0;"20";1,0;"1861";2;2;8169,0;3;;"Sito non bonificato";;;19495,0;;;;;868275,4;4661233,3
"6";"AQ0060039";"L'AQUILA";"AVEZZANO";"13";;1,0;1,0;2,5;2,5;;22800,0;15,0;10;1,0;5;0;9;8740,0;8;;"1140";1;30;"1";;"3";0,0;"20";5,0;"0";4;2;9492,0;3;;"Sito non bonificato";;;23935,0;;;;;865539,0;4663843,7
"6";"AQ0060040";"L'AQUILA";"AVEZZANO";"19";;1,0;1,0;2,5;2,5;;4200,0;10,0;10;1,0;5;0;9;7812,0;5;;"210";;30;"1";;"3";0,0;"20";3,0;"120";2;2;7718,0;3;;"Sito non bonificato";;;5335,0;;;;;867512,1;4662008,8
"6";"AQ0060041";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;30160,0;15,0;10;1,0;5;0;9;7085,0;8;;"1508";1;30;"1";;"3";0,0;"20";5,0;"0";4;2;13944,0;2;;"Sito non bonificato";;;31295,0;;;;;867210,2;4659533,1
"6";"AQ0060042";"L'AQUILA";"AVEZZANO";"13";;1,0;2,0;2,5;2,5;;34320,0;15,0;10;1,0;5;0;9;8976,0;8;;"1716";1;30;"1";;"3";0,0;"20";5,0;"0";4;2;13944,0;2;;"Sito non bonificato";;;35455,0;;;;;867000,0;4659338,7
"6";"AQ0060043";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;90480,0;15,0;10;1,0;5;0;9;16805,0;8;;"4524";1;5;"1";;"3";0,0;"20";5,0;"0";4;2;10944,0;2;;"Sito non bonificato";;;91615,0;;;;;866982,2;4659220,0
"6";"AQ0060044";"L'AQUILA";"AVEZZANO";"14";;1,0;2,0;2,5;2,5;;28080,0;15,0;10;1,0;5;0;9;18758,0;8;;"1404";1;5;"1";;"3";0,0;"20";5,0;"0";4;2;10944,0;2;;"Sito non bonificato";;;29215,0;;;;;867087,5;4659165,1
"6";"AQ0060045";"L'AQUILA";"AVEZZANO";"13";;1,0;2,0;2,5;2,5;;104400,0;15,0;10;1,0;5;0;9;9204,0;10;;"5220";1;30;"1";;"3";0,0;"20";5,0;"0";4;2;14184,0;2;;"Sito non bonificato";;;105535,0;;;;;867128,1;4659044,5
