"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"2";"Friuli1923";"PN";"PORCIA";"14";;1,0;1,0;2,5;2,5;;51990,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;630,0;3;;;;;;;;;;779963,2;5098140,8
"2";"Friuli1934";"UD";"LIGNANO SABBIADORO";"13";;2,5;1,0;2,5;2,5;36;;5,0;1;1,0;1;2;3;;5;;;1;30;"1";;"1";1,0;"20";5,0;;4;2;293,4;5;;;;;;;;;;820115,0;5065324,4
"2";"Friuli1988";"UD";"UDINE";"13";;2,5;1,0;2,5;1,0;50;;5,0;10;1,0;1;2;3;;10;;;1;5;"1";;"1";1,0;"10";5,0;;4;2;487,2;2;;;;;;;;;;825851,1;5110852,5
"2";"Friuli1992";"UD";"LESTIZZA";"13";;2,5;1,0;2,5;1,0;50;;5,0;10;1,0;1;2;3;;10;;;1;5;"1";;"1";1,0;"10";5,0;;4;2;487,2;2;;;;;;;;;;822186,2;5099231,9
"2";"Friuli1993";"UD";"SAN DANIELE DEL FRIULI";"13";;2,5;1,0;2,5;2,5;50;;5,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;214,6;5;;;;;;;;;;809612,7;5119443,4
"2";"Friuli1994";"UD";"FAGAGNA";"13";;2,5;1,0;2,5;1,0;50;;5,0;10;1,0;1;2;3;;10;;;1;5;"1";;"1";1,0;"10";5,0;;4;2;487,2;2;;;;;;;;;;815669,3;5114764,5
"2";"Friuli20";"GO";"CORMONS";"14";;1,0;1,0;2,5;1,0;;5100,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;164,7;5;;;;;;;;;;846430,5;5098011,2
"2";"Friuli2092";"UD";"LIGNANO SABBIADORO";"14";;1,0;1,0;2,5;2,5;;2250,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;820235,3;5066903,4
"2";"Friuli2102";"PN";"PORDENONE";"13";;2,5;1,0;2,5;2,5;50;;5,0;1;1,0;1;2;3;;5;;;1;30;"1";;"1";1,0;"20";5,0;;4;2;293,4;5;;;;;;;;;;783136,3;5096367,5
"2";"Friuli2175";"UD";"BAGNARIA ARSA";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;835410,4;5090493,3
