"Id_Regione";"ID_Unita";"Provincia";"Comune";"Categoria";"Descrizione materiali";"Tipologia";"A - Friabilità";"B - Uso pubblico";"C - Accessibilità";"D - Presenza di confinamento";"I1 - Quantità di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";"I2 - Presenza di un programma di manutenzione e controllo";"I3 - Attività";"I4 - Dispersione di fibre";"I5 - Concentrazione di fibre aerodisperse (ff/l)";"I6 - Area di estensione del sito (m2)";"Effettiva area perimetrale (m2)";"I7 - Superficie esposta all’aria (m2)";"Effettiva superficie con amianto friabile  (m2)";"Effettiva superficie con amianto compatto (m2)";"I8 - Coinvolgimento del sito in lavori di urbanizzazione";"I9 - Stato di conservazione delle strutture edili";"I10 - Tempo trascorso dalla dismissione (anni)";"Data dismissione (gg-mm-aaaa)";"I11 - Tipologia di amianto presente";"I12 - Dati epidemiologici";"I13 - Frequenza di utilizzo";"I14 - Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";"I15 - Densità di popolazione";"I16 - Età media dei soggetti frequentatori (anni)";"Tipo di bonifica";"Tipo di intervento";"Costi Totali stimati dell'intervento (€)";"Fondi locali/regionali assegnati";"Fondi da richiedere";"Punteggio Mappatura";"Classe di priorità";"Coefficiente di priorità";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
3;"2T_0058";"Aosta";"GRESSAN";1;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;3574;10;1;5;2;3;;5;"0";210;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;209;4;0,4;209,4;368066;5064987
3;"2T_0059";"Aosta";"GRESSAN";1;;"Edifici artigianali e di servizio";1;1;1;2,5;10;0;1365;10;1;5;2;3;;5;"0";80;1;5;1;;1;1;20;5;;2;2;0;0;2400;0;2400;226;4;0,4;226,2;368184;5064843
3;"2T_0060";"Aosta";"CHARVENSOD";2;;"Altro";1;1;1;2,5;5;0;355;10;1;5;2;3;;5;"0";21;1;5;1;;1;1;10;5;;2;2;0;0;630;0;630;181;4;0,4;181,2;368575;5064914
3;"2T_0064";"Aosta";"GRESSAN";2;;"Edifici residenziali";1;1;2,5;2,5;10;0;540;10;1;5;2;3;;5;"0";32;1;5;1;;1;1;5;1;;2;2;0;0;960;0;960;394;3;0,7;393,75;368295;5064420
3;"2T_0070";"Aosta";"GRESSAN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;5;0;450;10;3;5;2;3;;5;"0";26;1;30;3;;1;1;5;5;;2;2;0;0;780;0;780;390;4;0,4;390;367466;5064745
3;"2T_0081";"Aosta";"SARRE";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;679;10;3;5;2;3;;5;"0";40;1;30;7;;1;1;5;5;;2;2;0;0;1200;0;1200;441;4;0,4;441;364004;5063797
3;"2T_0084";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;3428;10;1;5;2;3;;5;"0";202;1;5;1;;1;1;20;3;;2;2;0;0;6060;0;6060;209;4;0,4;209,4;364201;5064076
3;"2T_0085";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;5;0;333;10;1;5;2;3;;5;"0";20;1;5;1;;1;1;5;5;;2;2;0;0;600;0;600;169;4;0,4;169,2;364197;5064164
3;"2T_0086";"Aosta";"SARRE";2;;"Edifici agricoli e loro pertinenze";1;1;2,5;2,5;5;0;290;10;1;5;2;3;;5;"0";17;1;5;1;;1;1;5;3;;2;2;0;0;510;0;510;371;3;0,7;370,65;364242;5064092
3;"2T_0088";"Aosta";"SARRE";2;;"Edifici residenziali";1;2,5;1;2,5;10;0;3259;10;1;5;2;3;;5;"0";192;1;5;1;;1;1;20;5;;2;2;0;0;5760;0;5760;313;4;0,4;312,6;364429;5064092
