provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,PISA,ISTITUTO PROFESSIONALE INDUSTRIA ED ARTIGIANATO,VIA UGO RINDI,47,SCUOLA,1159
PI,PISA,ISTITUTO PROFESSIONALE INDUSTRIA ED ARTIGIANATO,VIA UGO RINDI,47,Scuola,1438
PI,PISA,GAMBACORTI,ITALO POSSENTI,18,Scuola,2580
PI,PISA,POSTE ITALIANE S.p.A.,VIA ALDO MORO,27,Ufficio aperto al pubblico,70
PI,PISA,PISA,VIA SANTO STEFANO,2,Luogo di culto,10
PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GRANUCCIO OSPEDALETTO,"",impianto di riduzione gas metano,120
PI,PISA,saint gobain,VIA AURELIA,"",SITO DISMESSO,""
PI,PISA,MISSIONARIE GESU' BAMBINO,VIA PISTOLESI,2,Luogo di culto,3295
PI,PISA,depot camp darby,VIA PISORNO,"",SITO DISMESSO,""
PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GRAZIA DELEDDA SAN PIERO A GRADO,"",impianto di riduzione gas metano,200
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),PIERIN DEL VAGA,"",impianto di riduzione gas metano,480
PI,PISA,REGIONE TOSCANA GENIO CIVILE,PIAZZA DEI CAVALIERI,8,Ufficio aperto al pubblico,1945
PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),PISA,"",impianto di riduzione gas metano,50
PI,POMARANCE,Comune Pomarance,VIALE DI GALLERONE,"",Impianto sportivo,1200
PI,POMARANCE,ENTE Pubblico Comune,VIA MARIO BARDINI,36,Scuola,1000
PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro6/1,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo min. 2,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo bulera 4,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. 85,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo sper. 2LL,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro6/2,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,by-pass coll.cerri,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,imm. Gabbro6-C.le,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,collettrice 4,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. 1,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro3,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo poggetto,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. BP lard2,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. bassa pressione,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo sper. 1/LL,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo 57,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Lago 6 - Nodo 8,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,molinetto 2,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Vignacce - Nodo 31,"",IMPIANTO GEOTERMIA,""
