,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
233,FI,FIRENZE,COTTURA SETTIGNANO,VIA DESIDERIO DA SETTIGNANO,28/D,centro cottura,0,FIRENZE VIA DESIDERIO DA SETTIGNANO,"(43.7858181, 11.3232409)",43.7858181,11.3232409
234,FI,FIRENZE,PARROCCHIA SS VITO E MODESTO A BELLOSGUARDO,PIAZZA SAN FRANCESCO DI PAOLA,6,Luogo di culto,0,FIRENZE PIAZZA SAN FRANCESCO DI PAOLA,,,
235,FI,FIRENZE,INFRASTRUTTURE CIRCOLO DIDATTICO N. 14 CIRCOLO,VIA UGO BASSI,24,Scuola,0,FIRENZE VIA UGO BASSI,"(43.7845842, 11.2865156)",43.7845842,11.2865156
236,FI,FIRENZE,COMUNE DI FIRENZE,VIA VILLAMAGNA,39,acquedotto,0,FIRENZE VIA VILLAMAGNA,"(43.7633879, 11.2859977)",43.7633879,11.2859977
237,FI,FIRENZE,COMUNE DI FIRENZE,VIALE E. DE NICOLA,,Cantiere,0,FIRENZE VIALE E. DE NICOLA,,,
238,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELLE TORRI,31,annesso rurale,0,FIRENZE VIA DELLE TORRI,"(43.7754787, 11.2055075)",43.7754787,11.2055075
239,FI,FIRENZE,COMUNE DI FIRENZE,VIA DEI POZZI DI MANTIGNANO,,Laboratorio,0,FIRENZE VIA DEI POZZI DI MANTIGNANO,"(43.7859243, 11.1697719)",43.7859243,11.1697719
240,FI,FIRENZE,COMUNE DI FIRENZE,VIA CIRCONDARIA,19,Capannone industriale,0,FIRENZE VIA CIRCONDARIA,"(43.7883723, 11.2353766)",43.7883723,11.2353766
241,FI,FIRENZE,COMUNE DI FIRENZE,DELLE BAGNESE,4,residenza sociale assistita,0,FIRENZE DELLE BAGNESE,"(43.7486191, 11.2080522)",43.7486191,11.2080522
242,FI,FIRENZE,COMUNE DI FIRENZE,VIA ASSISI,20,Ufficio,0,FIRENZE VIA ASSISI,"(43.7825614, 11.2010566)",43.7825614,11.2010566
243,FI,FIRENZE,COMUNE DI FIRENZE,VIA SANTA MARIA A CINTOIA,3,Ufficio,0,FIRENZE VIA SANTA MARIA A CINTOIA,,,
244,FI,FIRENZE,COMUNE DI FIRENZE,VIA ANTONIO COCCHI,17,Ufficio,0,FIRENZE VIA ANTONIO COCCHI,"(43.7857278, 11.2820865)",43.7857278,11.2820865
245,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELL'ORIUOLO,33-35,Ufficio,0,FIRENZE VIA DELL'ORIUOLO,"(43.7717853, 11.2617811)",43.7717853,11.2617811
246,FI,FIRENZE,COMUNE DI FIRENZE,DELLE PORTE SANTE,,dissuasori di sosta,0,FIRENZE DELLE PORTE SANTE,"(43.7589511, 11.2642112487)",43.7589511,11.2642112487
247,FI,FIRENZE,COMUNE DI FIRENZE,VIALE G. POGGI,,dissuasori di sosta,0,FIRENZE VIALE G. POGGI,"(43.7635938, 11.2648623)",43.7635938,11.2648623
248,FI,FIRENZE,TOSCANA ENERGIA S.p.A.,A. NOVELLI,,impianto di riduzione gas metano,10,FIRENZE A. NOVELLI,"(43.7753557, 11.2944957)",43.7753557,11.2944957
249,FI,FIRENZE,TOSCANA ENERGIA S.p.A.,BOLOGNESE S. LUCIA,,impianto di riduzione gas metano,5,FIRENZE BOLOGNESE S. LUCIA,,,
250,FI,FIRENZE,COMUNE DI FIRENZE,VIA PANCIATICHI,85/a,laboratorio,0,FIRENZE VIA PANCIATICHI,"(43.8004077, 11.2334545)",43.8004077,11.2334545
252,FI,FIRENZE,COMUNE DI FIRENZE,BOLOGNESE,17,vivaio,100,FIRENZE BOLOGNESE,"(43.8107555, 11.273489)",43.8107555,11.273489
253,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA STROZZI,,cassoni deposito per l'acqua,0,FIRENZE PIAZZA STROZZI,,,
254,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA DI PARTE GUELFA,3,canna fumaria,0,FIRENZE PIAZZA DI PARTE GUELFA,"(43.769737, 11.2535300734)",43.769737,11.2535300734
255,FI,FIRENZE,COMUNE DI FIRENZE,VIA BRONZINO,55,Ufficio,0,FIRENZE VIA BRONZINO,"(43.7734901, 11.2318779)",43.7734901,11.2318779
256,FI,FIRENZE,COMUNE DI FIRENZE,VIALE DELL'AERONAUTICA,,Ufficio,0,FIRENZE VIALE DELL'AERONAUTICA,"(43.7846396, 11.2148207)",43.7846396,11.2148207
257,FI,FIRENZE,COMUNE DI FIRENZE,VIA ATTAVANTE,5,Ufficio,0,FIRENZE VIA ATTAVANTE,"(43.7681469, 11.1942464)",43.7681469,11.1942464
258,FI,FIRENZE,COMUNE DI FIRENZE,VIA JAHIER,,Ufficio,0,FIRENZE VIA JAHIER,"(43.7907308, 11.2649034)",43.7907308,11.2649034
259,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA D'AZEGLIO,,Ufficio,0,FIRENZE PIAZZA D'AZEGLIO,"(43.77439685, 11.2676886)",43.77439685,11.2676886
260,FI,FIRENZE,COMUNE DI FIRENZE,GRAN BRETAGNA,58,Scuola,0,FIRENZE GRAN BRETAGNA,"(50.8523833, -1.2180666)",50.8523833,-1.2180666
261,FI,FIRENZE,B BLIOTECA DELL'ARCHIVIO DI STATO DI FIRENZEi,VIALE GIOVINE ITALIA,6,Ufficio aperto al pubblico,20,FIRENZE VIALE GIOVINE ITALIA,,,
262,FI,FIRENZE,COMUNE DI FIRENZE,VIALE GIULIANO BUGIARDINI,43,Scuola,0,FIRENZE VIALE GIULIANO BUGIARDINI,"(43.7665325, 11.1942529)",43.7665325,11.1942529
263,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELLA CASELLA,110,Scuola,0,FIRENZE VIA DELLA CASELLA,"(43.768606, 11.1923129)",43.768606,11.1923129
264,FI,FIRENZE,COMUNE DI FIRENZE,VIUZZO DELLE CALVANE,13,Ufficio,330,FIRENZE VIUZZO DELLE CALVANE,"(43.7969683, 11.204978)",43.7969683,11.204978
265,FI,FIRENZE,COMUNE DI FIRENZE,DELLA RIPA,14,Scuola,0,FIRENZE DELLA RIPA,"(43.8988629, 11.1705701)",43.8988629,11.1705701
266,FI,FIRENZE,COMUNE DI FIRENZE,DEL GUARLONE,54n,Scuola,0,FIRENZE DEL GUARLONE,"(43.7707821, 11.3014557)",43.7707821,11.3014557
267,FI,FIRENZE,COMUNE DI FIRENZE,SVIZZERA,7,Scuola,0,FIRENZE SVIZZERA,"(47.3918872, 8.5390678)",47.3918872,8.5390678
268,FI,FIRENZE,COMUNE DI FIRENZE,SALVI CRISTIANI,3,Scuola,0,FIRENZE SALVI CRISTIANI,"(43.7763145, 11.2958615)",43.7763145,11.2958615
269,FI,FIRENZE,COMUNE DI FIRENZE,D. DA SETTIGNANO,28d,Scuola,0,FIRENZE D. DA SETTIGNANO,"(43.7858181, 11.3232409)",43.7858181,11.3232409
270,FI,FIRENZE,COMUNE DI FIRENZE,DEI CARDATORI,3,Scuola,0,FIRENZE DEI CARDATORI,"(43.7698854, 11.2418098)",43.7698854,11.2418098
271,FI,FIRENZE,COMUNE DI FIRENZE,CIRCONDARIA,15,Scuola,0,FIRENZE CIRCONDARIA,"(43.7883723, 11.2353766)",43.7883723,11.2353766
272,FI,FIRENZE,Azienda Sanitaria Firenze,VIA DI SAN SALVI,12,Ufficio aperto al pubblico,0,FIRENZE VIA DI SAN SALVI,"(43.7695507, 11.2849206)",43.7695507,11.2849206
273,FI,FIRENZE,COMUNE DI FIRENZE,VIA DESIDERIO DA SETTIGNANO,,Cimitero,0,FIRENZE VIA DESIDERIO DA SETTIGNANO,"(43.7858181, 11.3232409)",43.7858181,11.3232409
274,FI,FIRENZE,COMUNE DI FIRENZE,SAN MINIATO,6,palestra s. niccolÃ²,0,FIRENZE SAN MINIATO,"(43.6969668, 10.8263518)",43.6969668,10.8263518
275,FI,FIRENZE,COMUNE DI FIRENZE,R. GIULIANI,180,Scuola,0,FIRENZE R. GIULIANI,"(43.8024951, 11.2367979)",43.8024951,11.2367979
276,FI,FIRENZE,COMUNE DI FIRENZE,SENESE,109,Scuola,0,FIRENZE SENESE,"(43.7506432, 11.2366065)",43.7506432,11.2366065
277,FI,FIRENZE,COMUNE DI FIRENZE,IX FEBBRAIO,18,Scuola,0,FIRENZE IX FEBBRAIO,"(43.7864116, 11.2586894)",43.7864116,11.2586894
278,FI,FIRENZE,COMUNE DI FIRENZE,DEI BASSI,3,Scuola,0,FIRENZE DEI BASSI,"(43.7789764, 11.2010119)",43.7789764,11.2010119
279,FI,FIRENZE,COMUNE DI FIRENZE,BOLOGNESE,168,Scuola,0,FIRENZE BOLOGNESE,"(43.8107555, 11.273489)",43.8107555,11.273489
280,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA SS. ANNUNZIATA,12,Scuola,0,FIRENZE PIAZZA SS. ANNUNZIATA,"(43.5485653, 11.0436398066)",43.5485653,11.0436398066
281,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELLE CASCINE,37,Scuola,0,FIRENZE VIA DELLE CASCINE,"(43.7852608, 11.2246183)",43.7852608,11.2246183
282,FI,FIRENZE,COMUNE DI FIRENZE,L.A. DE BOSIS,41,Scuola,0,FIRENZE L.A. DE BOSIS,,,
283,FI,FIRENZE,COMUNE DI FIRENZE,S.MARIA A CINTOIA,8,Scuola,0,FIRENZE S.MARIA A CINTOIA,,,
284,FI,FIRENZE,COMUNE DI FIRENZE,DEGLI STEFANI,1,Scuola,0,FIRENZE DEGLI STEFANI,"(43.7364695, 11.2289382)",43.7364695,11.2289382
285,FI,FIRENZE,COMUNE DI FIRENZE,S. BRUNONE,4,Scuola,0,FIRENZE S. BRUNONE,"(43.7385847, 11.2299903)",43.7385847,11.2299903
286,FI,FIRENZE,COMUNE DI FIRENZE,SLATAPER,2,Ufficio,0,FIRENZE SLATAPER,"(43.7886624, 11.2437235)",43.7886624,11.2437235
287,FI,FIRENZE,COMUNE DI FIRENZE,ISONZO,21,,0,FIRENZE ISONZO,"(43.7509728, 11.3040411)",43.7509728,11.3040411
288,FI,FIRENZE,COMUNE DI FIRENZE,CIRCONDARIA,19,Ufficio,0,FIRENZE CIRCONDARIA,"(43.7883723, 11.2353766)",43.7883723,11.2353766
289,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZALE PORTA AL PRATO,6,Ufficio,0,FIRENZE PIAZZALE PORTA AL PRATO,"(43.7779092, 11.239947048)",43.7779092,11.239947048
290,FI,FIRENZE,COMUNE DI FIRENZE,DELLE CASCINE,9,Ufficio,0,FIRENZE DELLE CASCINE,"(43.7831935, 11.2152986471)",43.7831935,11.2152986471
291,FI,FIRENZE,COMUNE DI FIRENZE,DELL'ARCOVATA,2,Ufficio,0,FIRENZE DELL'ARCOVATA,"(43.7910958, 11.2391864)",43.7910958,11.2391864
292,FI,FIRENZUOLA,STAZIONE CARABINIERI,Via Giovanni XXIII,,Stazione carabinieri,1000,FIRENZUOLA Via Giovanni XXIII,"(44.1198136, 11.381691)",44.1198136,11.381691
294,FI,FIRENZUOLA,COMPAGNIA CARABINIERI,viale giovanni XXIII,,stazione carabinieri,1000,FIRENZUOLA viale giovanni XXIII,"(44.1198136, 11.381691)",44.1198136,11.381691
295,FI,FUCECCHIO,PARROCCHIA SANTA MARIA DELLE VEDUTE,viale Carducci,46,Luogo di culto,280,FUCECCHIO viale Carducci,"(43.7274922, 10.8037946)",43.7274922,10.8037946
296,FI,FUCECCHIO,PARROCCHIA SANTA MARIA DELLE VEDUTE,via Dante,1,Luogo di culto,8,FUCECCHIO via Dante,,,
297,FI,FUCECCHIO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),SANMINIATESE,,impianto di riduzione gas metano,60,FUCECCHIO SANMINIATESE,,,
298,FI,GREVE IN CHIANTI,POSTE ITALIANE S.p.A.,VIA GIUSEPPE DI VITTORIO,14,Ufficio aperto al pubblico,231,GREVE IN CHIANTI VIA GIUSEPPE DI VITTORIO,"(43.5853536, 11.3168969)",43.5853536,11.3168969
299,FI,GREVE IN CHIANTI,COMPAGNIA CARABINIERI,piazza emilio landi,16,Ufficio aperto al pubblico,0,GREVE IN CHIANTI piazza emilio landi,"(43.658581, 11.2983005)",43.658581,11.2983005
300,FI,GREVE IN CHIANTI,ELEMENTARE LUCOLENA,VIA DI COLOGNOLE,,Sede operativa cantiere comunale,1280,GREVE IN CHIANTI VIA DI COLOGNOLE,"(43.5878836, 11.31383)",43.5878836,11.31383
301,FI,GREVE IN CHIANTI,TEATRO BOITO,VIALE ROSALIBRI,2,Cinema/teatro/spettacoli,500,GREVE IN CHIANTI VIALE ROSALIBRI,,,
302,FI,IMPRUNETA,Azienda Sanitaria Firenze,VIA PAPA GIOVANNI XXIII,4,Distretto socio-sanitario,0,IMPRUNETA VIA PAPA GIOVANNI XXIII,"(43.68335, 11.2496626)",43.68335,11.2496626
303,FI,LASTRA A SIGNA,COMUNE DI LASTRA A SIGNA,LARGO SAINT FONS,,Impianto sportivo,1900,LASTRA A SIGNA LARGO SAINT FONS,,,
304,FI,MARRADI,IMPIANTI SPORTIVI: PISCINA COMUNALE,VIA DINO CAMPANA,42,Impianto sportivo,145,MARRADI VIA DINO CAMPANA,"(44.0741372, 11.6094278)",44.0741372,11.6094278
305,FI,MARRADI,SOCIETA ACQUEDOTTO VALLE DEL LAMONE SRL,VIA CHIUSIGNO,2,tettoia passerelle,7,MARRADI VIA CHIUSIGNO,"(44.0575175, 11.6210532)",44.0575175,11.6210532
306,FI,MARRADI,SOCIETA ACQUEDOTTO VALLE DEL LAMONE SRL,VIA CHIUSIGNO,2,Autorimessa,52.5,MARRADI VIA CHIUSIGNO,"(44.0575175, 11.6210532)",44.0575175,11.6210532
307,FI,MARRADI,Azienda Sanitaria Firenze,VIA DINO CAMPANA,1,Poliambulatorio,0,MARRADI VIA DINO CAMPANA,"(44.0741372, 11.6094278)",44.0741372,11.6094278
308,FI,MARRADI,HERA SPA,VIA  SAN ADRIANO,999,VASCHE PER RILANCIO IDRICO,0,MARRADI VIA  SAN ADRIANO,,,
309,FI,MARRADI,HERA SPA,ZONA INDUSTRIALE SAN ADRIANO,999,Impianto industriale,20,MARRADI ZONA INDUSTRIALE SAN ADRIANO,,,
310,FI,MONTAIONE,D'ELSA. STORIA E IMMAGINI DEL SACRO MONTE DI SAN,VIALE V.DA FILICAIA,18,Ospedale/Casa di cura,3200,MONTAIONE VIALE V.DA FILICAIA,,,
311,FI,MONTAIONE,D'ELSA. STORIA E IMMAGINI DEL SACRO MONTE DI SAN,G. PASCOLI,,Impianto sportivo,800,MONTAIONE G. PASCOLI,"(43.5525346, 10.910595)",43.5525346,10.910595
312,FI,MONTELUPO FIORENTINO,ex ceramiche corradini brogioni,LOC. SANMINIATELLO,,SITO DISMESSO,,MONTELUPO FIORENTINO LOC. SANMINIATELLO,,,
313,FI,MONTELUPO FIORENTINO,ex artinvetro,VIA F.LLI CERVI,,SITO DISMESSO,,MONTELUPO FIORENTINO VIA F.LLI CERVI,,,
314,FI,MONTELUPO FIORENTINO,ex nivial,VIA GRAMSCI,,SITO DISMESSO,,MONTELUPO FIORENTINO VIA GRAMSCI,"(43.7356135, 11.0228437)",43.7356135,11.0228437
315,FI,MONTELUPO FIORENTINO,area ex vetreria lux,LOC. TORRE,,SITO DISMESSO,,MONTELUPO FIORENTINO LOC. TORRE,,,
316,FI,MONTELUPO FIORENTINO,vetreria vas,"VIA PAVESE, 12",12,SITO DISMESSO,,"MONTELUPO FIORENTINO VIA PAVESE, 12",,,
317,FI,MONTELUPO FIORENTINO,ex vetreria vae,VIA F.LLI CERVI,,SITO DISMESSO,,MONTELUPO FIORENTINO VIA F.LLI CERVI,,,
318,FI,MONTELUPO FIORENTINO,COMUNE DI MONTELUPO FIORENTINO,VIA CAVERNI (1819),163,Scuola,695,MONTELUPO FIORENTINO VIA CAVERNI (1819),"(43.7297329, 11.0171329)",43.7297329,11.0171329
319,FI,MONTELUPO FIORENTINO,ex terrecotte manetti,VIA GRAMSCI,,SITO DISMESSO,,MONTELUPO FIORENTINO VIA GRAMSCI,"(43.7356135, 11.0228437)",43.7356135,11.0228437
320,FI,MONTELUPO FIORENTINO,ex terrecotte f.lli lotti,VIA GRAMSCI,,SITO DISMESSO,,MONTELUPO FIORENTINO VIA GRAMSCI,"(43.7356135, 11.0228437)",43.7356135,11.0228437
321,FI,MONTELUPO FIORENTINO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),B. BUOZZI,,impianto di riduzione gas metano,70,MONTELUPO FIORENTINO B. BUOZZI,"(43.7273281, 11.0169695)",43.7273281,11.0169695
322,FI,MONTELUPO FIORENTINO,ex ceramiche mancioli,VIA CAVERNI,,SITO DISMESSO,,MONTELUPO FIORENTINO VIA CAVERNI,"(43.7297329, 11.0171329)",43.7297329,11.0171329
323,FI,MONTELUPO FIORENTINO,COMUNE DI MONTELUPO FIORENTINO,VIA DELLA PESA,,Magazzino,975,MONTELUPO FIORENTINO VIA DELLA PESA,"(43.719469, 11.0344284)",43.719469,11.0344284
324,FI,PALAZZUOLO SUL SENIO,STAZIONE CARABINIERI,VIA DELLA FAGGIOLA,8,CASERMA CARABINIERI,0,PALAZZUOLO SUL SENIO VIA DELLA FAGGIOLA,,,
325,FI,PELAGO,ARMA CARABINIERI,viale Rimembranza,2,Ufficio aperto al pubblico,240,PELAGO viale Rimembranza,"(43.7733577, 11.5020025)",43.7733577,11.5020025
326,FI,PELAGO,TOSCANA ENERGIA S.p.A.,DI VICANO,,impianto di riduzione gas metano,12,PELAGO DI VICANO,"(43.7426287, 11.5064673)",43.7426287,11.5064673
327,FI,PONTASSIEVE,COMUNE DI PONTASSIEVE,VIA DI DOCCIA,49,MONDO,300,PONTASSIEVE VIA DI DOCCIA,"(43.82414455, 11.4297653676)",43.82414455,11.4297653676
328,FI,PONTASSIEVE,COMUNE DI PONTASSIEVE,VIALE DIAZ,54,Magazzino,830,PONTASSIEVE VIALE DIAZ,,,
329,FI,PONTASSIEVE,ex moggi luigi,PIANO PONTASSIEVE,,SITO DISMESSO,,PONTASSIEVE PIANO PONTASSIEVE,"(43.7900131, 11.3928305)",43.7900131,11.3928305
330,FI,PONTASSIEVE,TOSCANA ENERGIA S.p.A.,VIALE HANOI,,Ufficio,150,PONTASSIEVE VIALE HANOI,"(43.776548, 11.415246)",43.776548,11.415246
331,FI,PONTASSIEVE,ex centauro,VIA DI ROSANO,4,SITO DISMESSO,,PONTASSIEVE VIA DI ROSANO,,,
332,FI,PONTASSIEVE,Azienda Sanitaria Firenze,VIA PALAGI,38,Servizio Radiologico,0,PONTASSIEVE VIA PALAGI,"(43.7789487, 11.4436478)",43.7789487,11.4436478
333,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
334,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
336,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
337,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
338,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
339,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
340,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
341,FI,REGGELLO,PARROCCHIA DI S. ANDREA APOSOLO A TOSI,PIAZZA INDIPENDENZA,11,Autorimessa,105,REGGELLO PIAZZA INDIPENDENZA,,,
342,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
343,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
344,FI,REGGELLO,PARROCCHIA SANTA MARIA REGINA,VIA GIOVANNI XXIII,2,Luogo di culto,450,REGGELLO VIA GIOVANNI XXIII,"(43.6283486, 11.483051)",43.6283486,11.483051
345,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
346,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
347,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
348,FI,REGGELLO,S.I.M.S.SRL,Filarone di Reggello,,IMPIANTO INDUSTRIALE,,REGGELLO Filarone di Reggello,,,
349,FI,SAN GODENZO,STAZIONE CARABINIERI,VICOLO DEL PARCO,2,Stazione Carabinieri,0,SAN GODENZO VICOLO DEL PARCO,,,
350,FI,SAN GODENZO,IMPIANTI SPORTIVI: CAMPO CALCETTO LA SALE,PIAZZA  MUNICIPIO,1,Ufficio aperto al pubblico,500,SAN GODENZO PIAZZA  MUNICIPIO,,,
351,FI,SAN GODENZO,IMPIANTI SPORTIVI: CAMPO CALCETTO LA SALE,VIA FALTERONA,,Impianto sportivo,50,SAN GODENZO VIA FALTERONA,"(43.900441, 11.6601009)",43.900441,11.6601009
352,FI,SAN PIERO A SIEVE,POSTE ITALIANE S.p.A.,VIA DON GIOVANNI MINZONI,18,Ufficio aperto al pubblico,133,SAN PIERO A SIEVE VIA DON GIOVANNI MINZONI,,,
353,FI,SAN PIERO A SIEVE,TOSCANA ENERGIA S.p.A.,S.R. 65 DELLA FUTA PIAN BARUCCI,,impianto di riduzione gas metano,20,SAN PIERO A SIEVE S.R. 65 DELLA FUTA PIAN BARUCCI,,,
354,FI,SAN PIERO A SIEVE,PARROCCHIA SANTO STEFANO,S.STEFANO,1,Magazzino,12,SAN PIERO A SIEVE S.STEFANO,,,
355,FI,SCANDICCI,POSTE ITALIANE S.p.A.,VIA UMBERTO GIORDANO,,Ufficio aperto al pubblico,231,SCANDICCI VIA UMBERTO GIORDANO,"(43.7620759, 11.1709453)",43.7620759,11.1709453
356,FI,SCANDICCI,IMPIANTI SPORTIVI: U.S. SPORTING ARNO,VIA SAN COLOMBANO,31/h,Impianto sportivo,250,SCANDICCI VIA SAN COLOMBANO,"(43.7766684, 11.1327539)",43.7766684,11.1327539
357,FI,SCANDICCI,COLOMBANO,STAGNACCIO BASSO,7,rimessaggio cavalli,600,SCANDICCI STAGNACCIO BASSO,"(43.7754556, 11.13658)",43.7754556,11.13658
358,FI,SCANDICCI,Comune di Scandicci,VIA DELLE CORBINAIE,,Scuola,2450,SCANDICCI VIA DELLE CORBINAIE,,,
359,FI,SCANDICCI,Comune di Scandicci,VIA DEL MOLIN NUOVO,,Scuola,1120,SCANDICCI VIA DEL MOLIN NUOVO,"(43.7546242, 11.1933479)",43.7546242,11.1933479
360,FI,SCANDICCI,Comune di Scandicci,VIA F. SASSETTI,,Scuola,3500,SCANDICCI VIA F. SASSETTI,,,
361,FI,SCANDICCI,Comune di Scandicci,VIA NERUDA,1,Scuola,2500,SCANDICCI VIA NERUDA,"(43.7578953, 11.1950487)",43.7578953,11.1950487
362,FI,SCANDICCI,Comune di Scandicci,VIA S. ALLENDE,,Scuola,4000,SCANDICCI VIA S. ALLENDE,,,
363,FI,SCANDICCI,Comune di Scandicci,PIAZZALE DELLA RESISTENZA,1,Palazzo Comunale,3070,SCANDICCI PIAZZALE DELLA RESISTENZA,"(43.7581153, 11.1817041015)",43.7581153,11.1817041015
364,FI,SCANDICCI,PARROCCHIA DI SAN LUCA AL VINGONE,PIAZZA BRUNELLESCHI,,Luogo di culto,220,SCANDICCI PIAZZA BRUNELLESCHI,,,
365,FI,SCANDICCI,Comune di Scandicci,VIA RUGGERO LEONCAVALLO,2,Scuola,3000,SCANDICCI VIA RUGGERO LEONCAVALLO,"(43.7602885, 11.1790747)",43.7602885,11.1790747
366,FI,SCANDICCI,PARROCCHIA DI SANTA MARIA a SCANDICCI,VIA DI SCANDICCI ALTO,22,Luogo di culto,200,SCANDICCI VIA DI SCANDICCI ALTO,"(43.7494219, 11.1949114)",43.7494219,11.1949114
367,FI,SCARPERIA,TOSCANA ENERGIA S.p.A.,BERRETTA,,impianto di riduzione gas metano,45,SCARPERIA BERRETTA,,,
368,FI,SCARPERIA,TOSCANA ENERGIA S.p.A.,TORRE,,impianto di riduzione gas metano,30,SCARPERIA TORRE,"(43.9628222, 11.3556837)",43.9628222,11.3556837
369,FI,SESTO FIORENTINO,POSTE ITALIANE S.p.A.,VIA DELL'OLMO,125,Ufficio aperto al pubblico,1339,SESTO FIORENTINO VIA DELL'OLMO,"(43.8410828, 11.1981381)",43.8410828,11.1981381
370,FI,SESTO FIORENTINO,PARROCCHIA DI SANTA MARIA A QUINTO,VIA DI CASTELLO,27,orto,0,SESTO FIORENTINO VIA DI CASTELLO,"(43.8265565, 11.2216575)",43.8265565,11.2216575
371,FI,SESTO FIORENTINO,PARROCCHIA SANTA MARIA A PADULE,PIAZZA SAN BARTOLOMEO,10,Magazzino,48,SESTO FIORENTINO PIAZZA SAN BARTOLOMEO,,,
372,FI,SESTO FIORENTINO,Regione Toscana,VIA LUCCHESE,72,Ufficio,3000,SESTO FIORENTINO VIA LUCCHESE,"(43.804078, 11.1843246)",43.804078,11.1843246
373,FI,SIGNA,POSTE ITALIANE S.p.A.,STRADA STATALE PISTOIESE,,Ufficio aperto al pubblico,60,SIGNA STRADA STATALE PISTOIESE,,,
374,FI,SIGNA,POSTE ITALIANE S.p.A.,PIAZZA DELLE POSTE,39,Ufficio aperto al pubblico,231,SIGNA PIAZZA DELLE POSTE,,,
375,FI,SIGNA,SCUOLA MEDIA ISTITUTO COMPRENSIVO SIGNA,XX SETTEMBRE,57,palestra,1000,SIGNA XX SETTEMBRE,"(43.7842595, 11.0924097)",43.7842595,11.0924097
376,FI,TAVARNELLE VAL DI PESA,Azienda Sanitaria Firenze,VIA BENEDETTO NALDINI,28,Distretto socio-sanitario,0,TAVARNELLE VAL DI PESA VIA BENEDETTO NALDINI,"(43.5585729, 11.1711051)",43.5585729,11.1711051
378,FI,TAVARNELLE VAL DI PESA,GRAMASTEDA,CELLINI,20,Magazzino,340,TAVARNELLE VAL DI PESA CELLINI,,,
379,FI,VAGLIA,COMPAGNIA CARABINIERI,viale della stazione,8,Ufficio aperto al pubblico,660,VAGLIA viale della stazione,"(43.9058827, 11.2829572)",43.9058827,11.2829572
380,FI,VAGLIA,TOSCANA ENERGIA S.p.A.,NARDI DA RAZZO,,impianto di riduzione gas metano,5,VAGLIA NARDI DA RAZZO,,,
381,FI,VICCHIO,ARMA CARABINIERI,via della Repubblica,17/19,Ufficio aperto al pubblico,464.94,VICCHIO via della Repubblica,,,
382,FI,VINCI,tribeca sas,VIA MERCATALE,,SITO DISMESSO,,VINCI VIA MERCATALE,"(43.7574029, 10.9118359)",43.7574029,10.9118359
383,FI,VINCI,autodemolizioni cioni silvano,LOC. PETROIO,,SITO DISMESSO,,VINCI LOC. PETROIO,,,
384,FI,VINCI,INDUSTRIE BITOSSI SPA,Pietramarina,33,IMPIANTO INDUSTRIALE,,VINCI Pietramarina,"(43.7801887, 10.9672332)",43.7801887,10.9672332
