,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
33,FI,CERTALDO,IMPIANTI SPORTIVI: CS COMUNALE,DON MINZONI,,Impianto sportivo,686,CERTALDO DON MINZONI,"(43.5434018, 11.0384097)",43.5434018,11.0384097
34,FI,CERTALDO,IMPIANTI SPORTIVI: CS COMUNALE,DON MINZONI,,Impianto sportivo,643,CERTALDO DON MINZONI,"(43.5434018, 11.0384097)",43.5434018,11.0384097
35,FI,CERTALDO,IMPIANTI SPORTIVI: CS COMUNALE,DON MINZONI,,Impianto sportivo,15,CERTALDO DON MINZONI,"(43.5434018, 11.0384097)",43.5434018,11.0384097
36,FI,CERTALDO,COMUNE DI CERTALDO FARMACIA COMUNALE,2 GIUGNO,68,Esercizio commerciale,224,CERTALDO 2 GIUGNO,"(43.54806, 11.0405326)",43.54806,11.0405326
37,FI,EMPOLI,COMPAGNIA CARABINIERI,tripoli,30,civile abitazione,0,EMPOLI tripoli,"(43.717978, 10.9511914)",43.717978,10.9511914
38,FI,EMPOLI,GESCO srl,VIA TRIPOLI,30,Condominio,0,EMPOLI VIA TRIPOLI,"(43.717978, 10.9511914)",43.717978,10.9511914
39,FI,EMPOLI,CARTIERE ETRURIA,MOLIN NUOVO,28,IMPIANTO INDUSTRIALE,,EMPOLI MOLIN NUOVO,"(43.6675264, 10.9259654)",43.6675264,10.9259654
40,FI,EMPOLI,ex vitrum snc,VIA PALARINI,,SITO DISMESSO,,EMPOLI VIA PALARINI,,,
42,FI,EMPOLI,ex distilleria saves,viale IV novembre,,SITO DISMESSO,,EMPOLI viale IV novembre,,,
43,FI,EMPOLI,ex montevivo,VIA PRATIGNONE,,SITO DISMESSO,,EMPOLI VIA PRATIGNONE,"(43.7176196, 10.9572607)",43.7176196,10.9572607
44,FI,EMPOLI,ex coop. vetrai bufferia toscana,salaiola,,SITO DISMESSO,,EMPOLI salaiola,"(43.7095042, 10.9472504)",43.7095042,10.9472504
45,FI,EMPOLI,UPGSP - UFFICIO DENUNCE,GRAMSCI,46,commissariato p.s.,0,EMPOLI GRAMSCI,"(43.7213049, 10.9508152)",43.7213049,10.9508152
46,FI,EMPOLI,IMPIANTI SPORTIVI: CIRCOLO TENNIS VILLANOVA,SOTTOPOGGIO PER SAN DONATO,92,Magazzino,50,EMPOLI SOTTOPOGGIO PER SAN DONATO,,,
47,FI,EMPOLI,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),BRUNO BUOZZI,,gruppo di riduzione finale,15,EMPOLI BRUNO BUOZZI,"(43.7160148, 10.947252)",43.7160148,10.947252
48,FI,EMPOLI,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),FARFALLA,,impianto di riduzione gas metano,40,EMPOLI FARFALLA,,,
49,FI,EMPOLI,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),VAL D ELSA,,impianto di riduzione gas metano,110,EMPOLI VAL D ELSA,,,
50,FI,FIGLINE VALDARNO,GIORGIO VASARI,PIAZZA CADUTI DI PIAN D'ALBERO,,Scuola,0,FIGLINE VALDARNO PIAZZA CADUTI DI PIAN D'ALBERO,,,
